-41573	42243.9	0	0	0	0	0	0	0	0	
41573	-90273.7	49579.5	0	0	0	0	0	0	0	
0	48029.9	-99459.5	48075.6	0	0	0	0	0	0	
0	0	49880.1	-112311	62082.1	0	0	0	0	0	
0	0	0	64235.8	-168563	108778	0	0	0	0	
0	0	0	0	106481	-156485	48036.6	0	0	0	
0	0	0	0	0	47707	-121463	71259.5	0	0	
0	0	0	0	0	0	73426.2	-131837	62520.1	0	
0	0	0	0	0	0	0	60577.3	-117087	55334.6	
0	0	0	0	0	0	0	0	54567.2	-55334.6	
-37781	38413.5	0	0	0	0	0	0	0	0	
37781	-82190	45216.9	0	0	0	0	0	0	0	
0	43776.4	-90713.2	43819.3	0	0	0	0	0	0	
0	0	45496.3	-102706	56877	0	0	0	0	0	
0	0	0	58886.8	-155400	100694	0	0	0	0	
0	0	0	0	98523.2	-144175	43784.6	0	0	0	
0	0	0	0	0	43480.6	-111269	65457	0	0	
0	0	0	0	0	0	67484.6	-120928	57284.3	0	
0	0	0	0	0	0	0	55471	-107156	50591.7	
0	0	0	0	0	0	0	0	49871.9	-50591.7	
-34220.8	34815.1	0	0	0	0	0	0	0	0	
34220.8	-74586.3	41106.4	0	0	0	0	0	0	0	
0	39771.2	-82471.7	39811.2	0	0	0	0	0	0	
0	0	41365.3	-93631.6	51950	0	0	0	0	0	
0	0	0	53820.5	-142866	92962.3	0	0	0	0	
0	0	0	0	90916.1	-132463	39780.5	0	0	0	
0	0	0	0	0	39501	-101623	59950	0	0	
0	0	0	0	0	0	61842.4	-110590	52327.8	0	
0	0	0	0	0	0	0	50639.9	-97765.9	46111.3	
0	0	0	0	0	0	0	0	45438.1	-46111.3	
-30887.6	31443.9	0	0	0	0	0	0	0	0	
30887.6	-67453.8	37243.7	0	0	0	0	0	0	0	
0	36009.9	-74726.5	36047.1	0	0	0	0	0	0	
0	0	37482.8	-85080.7	47298	0	0	0	0	0	
0	0	0	49033.7	-130957	85583.2	0	0	0	0	
0	0	0	0	83659.2	-121347	36020.1	0	0	0	
0	0	0	0	0	35763.9	-92517.4	54736.1	0	0	
0	0	0	0	0	0	56497.3	-100817	47647.3	0	
0	0	0	0	0	0	0	46080.7	-88909.4	41890	
0	0	0	0	0	0	0	0	41262.1	-41890	
-27776.1	28294.8	0	0	0	0	0	0	0	0	
27776.1	-60782.6	33624.1	0	0	0	0	0	0	0	
0	32487.8	-67468.5	32522.2	0	0	0	0	0	0	
0	0	33844.3	-77045.1	42917.2	0	0	0	0	0	
0	0	0	44522.9	-119669	78556.6	0	0	0	0	
0	0	0	0	76752.2	-110821	32498.5	0	0	0	
0	0	0	0	0	32264.5	-83945	49812.2	0	0	
0	0	0	0	0	0	51446.5	-91601.9	43239.3	0	
0	0	0	0	0	0	0	41789.7	-80579.1	37923.5	
0	0	0	0	0	0	0	0	37339.8	-37923.5	
-24880.7	25362.5	0	0	0	0	0	0	0	0	
24880.7	-54562.1	30242.6	0	0	0	0	0	0	0	
0	29199.5	-60687.2	29231.2	0	0	0	0	0	0	
0	0	30444.6	-69515.4	38803.4	0	0	0	0	0	
0	0	0	40284.2	-108997	71881.5	0	0	0	0	
0	0	0	0	70194	-100879	29210.6	0	0	0	
0	0	0	0	0	28997.7	-75897.2	45174.7	0	0	
0	0	0	0	0	0	46686.5	-82937.2	39099.4	0	
0	0	0	0	0	0	0	37762.5	-72766	34207.3	
0	0	0	0	0	0	0	0	33666.6	-34207.3	
-22195.3	22641.1	0	0	0	0	0	0	0	0	
22195.3	-48780.6	27093.4	0	0	0	0	0	0	0	
0	26139.5	-54371.6	26168.6	0	0	0	0	0	0	
0	0	27278.1	-62481.4	34951.9	0	0	0	0	0	
0	0	0	36312.8	-98934.6	65556.5	0	0	0	0	
0	0	0	0	63982.7	-91514.2	26150.8	0	0	0	
0	0	0	0	0	25957.7	-68364.2	40819.6	0	0	
0	0	0	0	0	0	42213.4	-74813.8	35223	0	
0	0	0	0	0	0	0	33994.2	-65460.2	30736.3	
0	0	0	0	0	0	0	0	30237.1	-30736.3	
-19713.7	20124.2	0	0	0	0	0	0	0	0	
19713.7	-43425.7	24170.6	0	0	0	0	0	0	0	
0	23301.5	-48509.4	23328.1	0	0	0	0	0	0	
0	0	24338.8	-55931.7	31357.4	0	0	0	0	0	
0	0	0	32603.6	-89473.4	59579.2	0	0	0	0	
0	0	0	0	58116.1	-82717.7	23312.7	0	0	0	
0	0	0	0	0	23138.4	-61335.3	36742.1	0	0	
0	0	0	0	0	0	38022.6	-67221.6	31604.8	0	
0	0	0	0	0	0	0	30479.5	-58650.7	27505	
